,SessionID,ItemID,Time
0,1,81766,1462723200.0
1,1,31331,1462723200.0
2,1,32118,1462723200.0
3,1,9654,1462723200.0
4,1,32627,1462723200.0
5,1,33043,1462723200.0
6,1,12352,1462723200.0
7,1,35077,1462723200.0
8,1,36118,1462723200.0
9,1,129055,1462723200.0
10,2,3147,1462723200.0
11,2,32754,1462723200.0
12,2,100747,1462723200.0
13,2,32971,1462723200.0
14,2,10657,1462723200.0
15,2,35606,1462723200.0
16,2,35606,1462723200.0
17,2,36246,1462723200.0
18,2,36246,1462723200.0
19,2,196110,1462723200.0
20,4,13931,1462723200.0
21,5,5140,1462723200.0
22,5,35472,1462723200.0
23,6,73191,1462723200.0
24,6,382683,1462723200.0
25,7,59248,1462723200.0
26,7,59248,1462723200.0
27,7,9416,1462723200.0
28,7,40639,1462723200.0
29,7,40639,1462723200.0
30,7,40639,1462723200.0
31,7,73816,1462723200.0
32,7,32742,1462723200.0
33,7,79626,1462723200.0
34,7,388131,1462723200.0
35,8,11542,1460217600.0
36,10,69597,1459785600.0
37,10,5103,1459785600.0
38,12,4168,1459785600.0
39,12,79898,1459785600.0
40,12,79898,1459785600.0
41,13,3680,1459785600.0
42,13,34797,1459785600.0
43,13,14784,1459785600.0
44,14,36156,1459785600.0
45,14,13931,1459785600.0
46,15,135099,1459785600.0
47,15,151445,1459785600.0
48,15,29592,1459785600.0
49,15,19726,1459785600.0
50,15,19726,1459785600.0
51,15,58223,1459785600.0
52,17,51353,1460131200.0
53,17,240186,1460131200.0
54,17,51913,1460131200.0
55,17,254864,1460131200.0
56,17,353726,1460131200.0
57,17,35142,1460131200.0
58,17,79898,1460131200.0
59,18,38873,1460131200.0
60,18,38873,1460131200.0
61,18,38873,1460131200.0
62,18,31579,1460131200.0
63,18,44491,1460131200.0
64,18,44491,1460131200.0
65,18,11732,1460131200.0
66,18,23840,1460131200.0
67,18,23840,1460131200.0
68,18,23840,1460131200.0
69,18,14914,1460131200.0
70,20,117403,1459612800.0
71,20,105612,1459612800.0
72,20,123272,1459612800.0
73,20,108888,1459612800.0
74,20,9029,1459612800.0
75,20,3633,1459612800.0
76,20,126437,1459612800.0
77,20,126437,1459612800.0
78,22,6542,1459612800.0
79,22,6542,1459612800.0
80,22,6542,1459612800.0
81,22,375733,1459612800.0
82,22,126498,1459612800.0
83,22,128913,1459612800.0
84,22,69210,1459612800.0
85,22,400741,1459612800.0
86,22,169562,1459612800.0
87,22,381355,1459612800.0
88,22,208971,1459612800.0
89,24,66200,1462809600.0
90,25,14895,1462809600.0
91,28,1013,1462636800.0
92,28,121104,1462636800.0
93,28,46610,1462636800.0
94,28,12787,1462636800.0
95,28,24619,1462636800.0
96,28,13061,1462636800.0
97,28,171222,1462636800.0
98,28,126308,1462636800.0
99,28,164504,1462636800.0
100,28,164504,1462636800.0
101,28,25583,1462636800.0
102,29,2042,1459699200.0
103,29,2042,1459699200.0
104,29,2042,1459699200.0
105,32,3719,1460044800.0
106,32,11338,1460044800.0
107,32,11338,1460044800.0
108,32,387,1460044800.0
109,32,35311,1460044800.0
110,32,35311,1460044800.0
111,32,35311,1460044800.0
112,32,35311,1460044800.0
113,32,79130,1460044800.0
114,33,32142,1460044800.0
115,33,63532,1460044800.0
116,33,28249,1460044800.0
117,33,35378,1460044800.0
118,33,35418,1460044800.0
119,33,5450,1460044800.0
120,33,6267,1460044800.0
121,34,75611,1460044800.0
122,35,59968,1460044800.0
123,35,84043,1460044800.0
124,35,172323,1460044800.0
125,35,172323,1460044800.0
126,35,172323,1460044800.0
127,35,117825,1460044800.0
128,35,75155,1460044800.0
129,35,86471,1460044800.0
130,35,4145,1460044800.0
131,35,66165,1460044800.0
132,35,4735,1460044800.0
133,35,4735,1460044800.0
134,35,130777,1460044800.0
135,35,201689,1460044800.0
136,37,8549,1460044800.0
137,37,8549,1460044800.0
138,37,8549,1460044800.0
139,37,62898,1460044800.0
140,37,62898,1460044800.0
141,37,62898,1460044800.0
142,37,28580,1460044800.0
143,38,2062,1460044800.0
144,40,82984,1460044800.0
145,40,82984,1460044800.0
146,40,82984,1460044800.0
147,40,80334,1460044800.0
148,40,80334,1460044800.0
149,40,42,1460044800.0
150,42,4185,1460044800.0
151,42,55594,1460044800.0
152,42,6308,1460044800.0
153,42,14280,1460044800.0
154,43,3433,1460131200.0
155,43,36956,1460131200.0
156,43,14784,1460131200.0
157,43,14784,1460131200.0
158,44,73655,1462723200.0
159,45,6078,1462723200.0
160,46,66956,1462723200.0
161,46,90812,1462723200.0
162,46,6306,1462723200.0
163,47,10741,1462723200.0
